"","stationName","latitude","longitude","stAddress1"
"246","12 Ave & W 40 St","40.76087502","-74.00277668","12 Ave & W 40 St"
"247","W 43 St & 10 Ave","40.76009437","-73.99461843","W 43 St & 10 Ave"
"248","E 47 St & 1 Ave","40.75206862","-73.96784384","E 47 St & 1 Ave"
"249","Pershing Square South","40.751581","-73.97791","Pershing Square South"
"250","E 39 St & 2 Ave","40.74780373","-73.9734419","E 39 St & 2 Ave"
"251","Pershing Square North","40.751873","-73.977706","Pershing Square North"
"252","W 52 St & 5 Ave","40.75992262","-73.97648516","W 52 St & 5 Ave"
"253","E 51 St & Lexington Ave","40.75714758","-73.97207836","E 51 St & Lexington Ave"
"254","W 38 St & 8 Ave","40.75466591","-73.99138152","W 38 St & 8 Ave"
"255","W 43 St & 6 Ave","40.75527307","-73.98316936","W 43 St & 6 Ave"
"256","W 34 St & 11 Ave","40.75594159","-74.0021163","W 34 St & 11 Ave"
"257","E 33 St & 5 Ave","40.74765947","-73.98490707","E 33 St & 5 Ave"
"258","2 Ave & E 31 St","40.74290902","-73.97706058","2 Ave & E 31 St"
"259","W 42 St & 8 Ave","40.7575699","-73.99098507","W 42 St & 8 Ave"
"260","11 Ave & W 59 St","40.7714967105444","-73.9904603362083","11 Ave & W 59 St"
"261","Forsyth St & Broome St","40.71893904","-73.99266288","Forsyth St & Broome St"
"262","S 5 Pl & S 5 St","40.710451","-73.960876","S 5 Pl & S 5 St"
"263","Broadway & W 38 St","40.75299641","-73.98721619","Broadway & W 38 St"
"264","Water - Whitehall Plaza","40.70255065","-74.0127234","Water - Whitehall Plaza"
"265","1 Ave & E 30 St","40.74144387","-73.97536082","1 Ave & E 30 St"
"266","Metropolitan Ave & Bedford Ave","40.71534825","-73.96024116","Metropolitan Ave & Bedford Ave"
"267","Lexington Ave & E 29 St","40.7431155537649","-73.9821535348892","Lexington Ave & E 29 St"
"268","E 23 St & 1 Ave","40.736502","-73.97809472","E 23 St & 1 Ave"
"269","E 30 St & Park Ave S","40.74444921","-73.98303529","E 30 St & Park Ave S"
"270","Front St & Washington St","40.70255088","-73.98940236","Front St & Washington St"
"271","Wythe Ave & Metropolitan Ave","40.716887","-73.963198","Wythe Ave & Metropolitan Ave"
"272","1 Ave & E 18 St","40.7338121919663","-73.9805442094803","1 Ave & E 18 St"
"273","Railroad Ave & Kay Ave","40.70531194","-73.97100056","Railroad Ave & Kay Ave"
"274","Central Park S & 6 Ave","40.76590936","-73.97634151","Central Park S & 6 Ave"
"275","Little West St & 1 Pl","40.70569254","-74.01677685","Little West St & 1 Pl"
"276","Catherine St & Monroe St","40.71117444","-73.99682619","Catherine St & Monroe St"
"277","Grand St & Greene St","40.72165481","-74.00234737","Grand St & Greene St"
"278","E 27 St & 1 Ave","40.739445","-73.976806","E 27 St & 1 Ave"
"279","E 43 St & 2 Ave","40.75022392","-73.97121414","E 43 St & 2 Ave"
"280","W 45 St & 8 Ave","40.75929124","-73.98859651","W 45 St & 8 Ave"
"281","E 60 St & York Ave","40.759107","-73.959223","E 60 St & York Ave"
"282","E 55 St & Lexington Ave","40.75968085","-73.97031366","E 55 St & Lexington Ave"
"283","South End Ave & Liberty St","40.711512","-74.015756","South End Ave & Liberty St"
"284","Kent Ave & N 7 St","40.7203677529846","-73.9616507291794","Kent Ave & N 7 St"
"285","Kingston Ave & Herkimer St","40.67890679","-73.94142771","Kingston Ave & Herkimer St"
"286","Fulton St & Utica Ave","40.6794268","-73.9298911","Fulton St & Utica Ave"
"287","Lewis Ave & Decatur St","40.6814598","-73.934903","Lewis Ave & Decatur St"
"288","Albany Ave & Fulton St","40.6800105","-73.938475","Albany Ave & Fulton St"
"289","Marcus Garvey Blvd & Macon St","40.682601","-73.938037","Marcus Garvey Blvd & Macon St"
"290","Halsey St & Tompkins Ave","40.6823687","-73.944118","Halsey St & Tompkins Ave"
"291","Putnam Ave & Nostrand Ave","40.68402","-73.94977","Putnam Ave & Nostrand Ave"
"292","Cambridge Pl & Gates Ave","40.68488","-73.96304","Cambridge Pl & Gates Ave"
"293","Putnam Ave & Throop Ave","40.6851532","-73.94111","Putnam Ave & Throop Ave"
"294","Lewis Ave & Madison St","40.686312","-73.935775","Lewis Ave & Madison St"
"295","Marcy Ave & Lafayette Ave","40.6900815","-73.947915","Marcy Ave & Lafayette Ave"
"296","Greene Ave & Throop Ave","40.6894932","-73.942061","Greene Ave & Throop Ave"
"297","Greene Ave & Nostrand Ave","40.6883337","-73.950916","Greene Ave & Nostrand Ave"
"298","Kosciuszko St & Nostrand Ave","40.69072549","-73.95133465","Kosciuszko St & Nostrand Ave"
"299","Kosciuszko St & Tompkins Ave","40.69128258","-73.9452416","Kosciuszko St & Tompkins Ave"
"300","Lewis Ave & Kosciuszko St","40.69237074","-73.93705428","Lewis Ave & Kosciuszko St"
"301","Pulaski St & Marcus Garvey Blvd","40.6933982","-73.939877","Pulaski St & Marcus Garvey Blvd"
"302","Willoughby Ave & Tompkins Ave","40.69425403","-73.94626915","Willoughby Ave & Tompkins Ave"
"303","Throop Ave & Myrtle Ave","40.69622937","-73.94371094","Throop Ave & Myrtle Ave"
"304","Myrtle Ave & Marcy Ave","40.69539817","-73.94954908","Myrtle Ave & Marcy Ave"
"305","Nostrand Ave & Myrtle Ave","40.69527008","-73.95238108","Nostrand Ave & Myrtle Ave"
"306","Myrtle Ave & Lewis Ave","40.69681963","-73.93756926","Myrtle Ave & Lewis Ave"
"307","Union Ave & Wallabout St","40.70029511","-73.95032283","Union Ave & Wallabout St"
"308","Tompkins Ave & Hopkins St","40.69957608","-73.94708417","Tompkins Ave & Hopkins St"
"309","Broadway & Whipple St","40.7016657","-73.9437303","Broadway & Whipple St"
"310","Humboldt St & Varet St","40.7031724","-73.940636","Humboldt St & Varet St"
"311","Lorimer St & Broadway","40.70411791","-73.94818595","Lorimer St & Broadway"
"312","McKibbin St & Manhattan Ave","40.70510918","-73.94407279","McKibbin St & Manhattan Ave"
"313","Boerum St & Broadway","40.70538077","-73.94976519","Boerum St & Broadway"
"314","Leonard St & Boerum St","40.70583339","-73.94644578","Leonard St & Boerum St"
"315","Montrose Ave & Bushwick Ave","40.70767788","-73.94016171","Montrose Ave & Bushwick Ave"
"316","Division Ave & Marcy Ave","40.70708701","-73.95796783","Division Ave & Marcy Ave"
"317","Scholes St & Manhattan Ave","40.70870368","-73.9448625","Scholes St & Manhattan Ave"
"318","Stagg St & Union Ave","40.70877084","-73.95095259","Stagg St & Union Ave"
"319","Broadway & Roebling St","40.7092482627616","-73.9606314897537","Broadway & Roebling St"
"320","S 4 St & Rodney St","40.70934","-73.95608","S 4 St & Rodney St"
"321","Graham Ave & Grand St","40.711863","-73.944024","Graham Ave & Grand St"
"322","Hope St & Union Ave","40.71167351","-73.95141312","Hope St & Union Ave"
"323","Bushwick Ave & Powers St","40.71247661","-73.94100005","Bushwick Ave & Powers St"
"324","Roebling St & N 4 St","40.71469","-73.95739","Roebling St & N 4 St"
"325","Graham Ave & Conselyea St","40.715143","-73.944507","Graham Ave & Conselyea St"
"326","Metropolitan Ave & Meeker Ave","40.71413311","-73.95234386","Metropolitan Ave & Meeker Ave"
