"","name","Measure","geo_type_name","geo_entity_id","geo_entity_name","year_description","data_value"
"240","Nitric Oxide (NO)","Mean","CD",104,"Clinton and Chelsea (CD4)","Annual Average 2016",26.98
"241","Nitric Oxide (NO)","Mean","CD",105,"Midtown (CD5)","Annual Average 2016",29.85
"242","Nitric Oxide (NO)","Mean","CD",106,"Stuyvesant Town and Turtle Bay (CD6)","Annual Average 2016",27.43
"243","Nitric Oxide (NO)","Mean","CD",107,"Upper West Side (CD7)","Annual Average 2016",22.34
"244","Nitric Oxide (NO)","Mean","CD",108,"Upper East Side (CD8)","Annual Average 2016",27.23
"245","Nitric Oxide (NO)","Mean","CD",109,"Morningside Heights and Hamilton Heights (CD9)","Annual Average 2016",16.92
"246","Nitric Oxide (NO)","Mean","CD",110,"Central Harlem (CD10)","Annual Average 2016",17.22
"247","Nitric Oxide (NO)","Mean","CD",111,"East Harlem (CD11)","Annual Average 2016",18.56
"248","Nitric Oxide (NO)","Mean","CD",112,"Washington Heights and Inwood (CD12)","Annual Average 2016",16.36
"249","Nitric Oxide (NO)","Mean","CD",201,"Mott Haven and Melrose (CD1)","Annual Average 2016",16.34
"250","Nitric Oxide (NO)","Mean","CD",202,"Hunts Point and Longwood (CD2)","Annual Average 2016",15.69
"251","Nitric Oxide (NO)","Mean","CD",203,"Morrisania and Crotona (CD3)","Annual Average 2016",15.35
"252","Nitric Oxide (NO)","Mean","CD",204,"Highbridge and Concourse (CD4)","Annual Average 2016",16.75
"253","Nitric Oxide (NO)","Mean","CD",205,"Fordham and University Heights (CD5)","Annual Average 2016",17.32
